aX,aY,aZ,gX,gY,gZ
-0.341,-0.485,1.685,17.822,-1.221,2.625
-0.336,-0.479,1.681,15.015,2.258,8.301
-0.333,-0.440,1.615,16.418,13.977,15.381
-0.326,-0.388,1.510,18.616,25.330,22.400
-0.322,-0.328,1.417,16.602,34.119,28.503
-0.317,-0.276,1.340,9.949,36.865,30.762
-0.311,-0.234,1.282,1.770,35.461,31.189
-0.305,-0.210,1.248,-3.784,34.119,29.663
-0.301,-0.201,1.215,-5.310,34.424,26.428
-0.304,-0.198,1.190,-3.845,35.706,24.048
-0.302,-0.216,1.161,-0.305,35.889,21.912
-0.303,-0.248,1.132,3.235,36.194,19.348
-0.308,-0.281,1.108,4.028,36.743,17.456
-0.305,-0.310,1.065,2.197,35.706,16.846
-0.300,-0.329,1.017,0.854,35.522,17.334
-0.305,-0.324,0.986,0.549,35.278,18.860
-0.296,-0.317,0.951,0.366,31.799,20.020
-0.302,-0.328,0.937,1.099,27.039,18.677
-0.304,-0.353,0.935,-0.183,21.301,16.418
-0.302,-0.389,0.951,-3.723,16.724,14.343
-0.294,-0.402,0.966,-7.935,15.198,14.404
-0.290,-0.391,0.977,-9.766,17.029,16.968
-0.278,-0.368,0.948,-8.423,20.935,19.348
-0.288,-0.337,0.913,-5.920,26.306,20.630
-0.274,-0.333,0.898,-6.592,27.832,19.958
-0.272,-0.338,0.882,-11.230,23.621,18.860
-0.279,-0.335,0.891,-15.015,20.813,17.456
-0.268,-0.358,0.914,-16.357,17.395,17.639
