aX,aY,aZ,gX,gY,gZ
-0.127,-0.064,1.103,-17.212,-5.249,-2.869
-0.120,-0.115,1.059,-14.099,4.395,-6.226
-0.100,-0.152,0.998,-9.583,12.756,-7.996
-0.096,-0.151,0.938,-4.272,18.982,-8.301
-0.098,-0.139,0.889,0.793,18.372,-7.629
-0.374,-0.543,2.521,-2.625,-114.807,-0.244
-0.440,-0.516,2.865,-21.606,-96.497,9.399
-0.530,-0.412,3.034,-44.373,-64.331,16.479
-0.609,-0.376,3.116,-48.828,-32.898,12.024
-0.693,-0.415,3.155,-39.063,-3.235,2.441
-0.744,-0.467,3.073,-34.302,27.527,-3.052
-0.749,-0.514,2.890,-35.400,59.082,-5.981
-0.728,-0.596,2.667,-32.959,86.182,-9.460
-0.679,-0.664,2.430,-27.649,109.741,-11.230
-0.628,-0.662,2.134,-24.048,132.446,-6.836
-0.556,-0.584,1.785,-21.729,157.349,1.343
-0.480,-0.547,1.418,-18.799,175.476,7.141
-0.419,-0.577,1.100,-18.494,180.786,5.859
-0.367,-0.610,0.852,-27.649,181.946,2.808
-0.341,-0.557,0.589,-43.945,179.687,2.563
-0.334,-0.517,0.334,-49.500,157.654,6.470
-0.293,-0.530,0.287,-39.917,122.375,12.939
-0.260,-0.485,0.287,-38.635,98.145,22.888
-0.217,-0.369,0.225,-46.875,92.590,31.860
-0.200,-0.238,0.148,-50.232,93.506,37.231
-0.157,-0.118,0.047,-43.213,92.163,38.879
-0.120,-0.019,0.017,-28.198,95.947,40.710
-0.088,0.045,-0.033,-17.578,102.539,42.969
-0.078,0.112,-0.115,-24.902,109.192,45.166
-0.068,0.144,-0.312,-38.086,99.426,42.908
-0.049,0.117,-0.319,-38.330,72.815,31.982
-0.038,0.081,-0.196,-37.903,46.265,19.043
-0.010,0.034,-0.120,-45.166,33.447,13.794
0.021,0.029,-0.107,-48.340,31.982,14.099
0.052,0.020,-0.098,-37.781,31.311,15.808
0.098,0.027,-0.084,-22.400,32.715,19.714
0.142,0.104,-0.135,-14.099,37.354,27.832
0.161,0.164,-0.110,-10.376,44.800,39.856
0.181,0.174,-0.130,-12.085,42.664,56.213
0.154,0.135,-0.146,-16.296,28.687,72.571
0.228,0.427,-0.117,-17.761,4.211,73.120
0.207,0.482,0.036,-8.972,-24.780,43.579
0.207,0.339,0.160,-2.625,-51.147,13.367
